No,분류,idx,parent_idx,항목,코드,Route
1,common,0,null,루트,ROOT,/
2,mv&machiney,1,0,홈,HOME,/dashboard
3,mv&machiney,2,0,차트,CHART,/chart
4,mv&machiney,3,2,설비,CHART_MACHINE,/chart?tab=machine
5,mv&machiney,4,2,ESG,CHART_ESG,/chart?tab=esg
6,mv&machiney,5,2,생산,CHART_PRODUCTION,/chart?tab=production
7,mv,6,0,MV,MV,/mv
8,plc,7,0,PLC,PLC,/plc
9,plc,8,7,현황(PLC),PLC_STATUS,/plc
10,plc,9,7,차트(PLC),PLC_CHART,/plc/chart
11,plc,10,7,기록(PLC),PLC_RECORD,/plc/log
12,plc,11,7,알람(PLC),PLC_ALARM,/plc/history
13,plc,12,7,알람 코드(PLC),PLC_ALARM_CODE,/plc/{place_holder}/manual
14,mv&machiney,13,0,설비,MACHINE,/machine
15,mv&machiney,14,13,분석(MACHINE),MACHINE_ANALYSIS,/machine
16,panel_board,15,0,분전반,PANEL_BOARD,/panel-board
17,panel_board,16,15,현황(분전반),PANEL_BOARD_STATUS,/panel-board/daily
18,panel_board,17,15,기록(분전반),PANEL_BOARD_LOG,/panel-board/log
19,panel_board,18,15,차트(분전반),PANEL_BOARD_CHART,/panel-board/chart
20,panel_board,19,15,한전(분전반),PANEL_BOARD_KEPCO,/panel-board/kepco
21,panel_board,20,19,기록(한전),PANEL_BOARD_KEPCO_LOG,/panel-board/kepco/log
22,common,21,0,설정,SETTINGS,/setting
23,common,22,21,설비,SETTINGS_MACHINE,/setting/machine
24,common,23,21,터미널,SETTINGS_TERMINAL,/setting/terminal
25,common,24,21,센서,SETTINGS_SENSOR,/setting/sensor
26,common,25,21,데이터 타입,SETTINGS_DATATYPE,/setting/data-type
27,common,26,21,공장,SETTINGS_FACTORY,/setting/factory
28,common,27,21,회사,SETTINGS_COMPANY,/setting/company
29,common,28,21,분전반,SETTINGS_PANEL_BOARD,/setting/panel-board
30,common,29,28,분전반 관리,SETTINGS_PANEL_BOARD_MANAGE,/setting/panel-board/management
31,common,30,28,분전반-설비 관리,SETTINGS_PANEL_BOARD_FACILITY,/setting/panel-board/equipment
32,common,31,28,목표 Peak 관리,SETTINGS_PANEL_BOARD_PEAK,/setting/panel-board/target-peak
33,common,32,21,사용자,SETTINGS_USER,/setting/user
34,common,33,21,알림,SETTINGS_NOTIFICATION,/setting/notification
35,common,34,21,모바일 기기,SETTINGS_MOBILE,/setting/mobile-device
36,common,35,21,앱 설정,SETTINGS_APP,/setting/app-config
37,common,36,0,사용자 정보,USER_INFO,/user/info
38,common,37,0,주간 리포트,WEEKLY_REPORT,
39,common,38,0,월간 리포트,MONTHLY_REPORT,
